Year	Milk	Soda	Coffee
1910	32.2	9.6	21.7
1911	31.3	10.2	19.7
1912	34.4	9.6	25.5
1913	33.1	8.5	21.2
1914	31.1	8.9	21.8
1915	29	9.6	25
1916	28	9.6	27.1
1917	29.7	11.3	28.6
1918	34	4.4	23.7
1919	30.4	5.8	27.9
1920	34	7.7	27.6
1921	33.2	6.5	28.4
1922	33.5	8	27.8
1923	32.5	8.5	29.9
1924	32.7	7.5	28.9
1925	33.6	8.1	25
1926	33.5	7.6	29.3
1927	33.2	6.9	28.7
1928	33.2	6.9	28.2
1929	33.4	6.8	28.7
1930	33.2	6.4	29.5
1931	33.2	6.5	30.7
1932	33.8	7.1	29.4
1933	33.7	7.2	30.1
1934	32.5	5.5	29.1
1935	33	6	31.7
1936	33.3	6	32.4
1937	33.5	6.4	31.4
1938	33.5	6.3	35.2
1939	34	6.6	35.2
1940	34	6.2	36.6
1941	34.4	7.3	38
1942	37	4.9	36.2
1943	41	4.2	33.1
1944	43.6	5.1	41.8
1945	44.7	6.1	44.4
1946	42.1	9.1	46.4
1947	39.9	9.9	40.8
1948	38.1	10.9	43.5
1949	37.5	11.5	45.1
1950	37.2	12.6	38.6
1951	37.5	13.0	39.5
1952	37.6	13.3	38
1953	37	13.9	37.3
1954	36.2	14.1	30.5
1955	36.2	15.5	32
1956	36.3	16.1	31.6
1957	35.9	16.4	30.6
1958	35.2	16.5	30.4
1959	34.4	17.1	30.9
1960	33.9	17.3	30.7
1961	33	18.9	31
1962	32.9	18.3	31
1963	33	17.1	30.8
1964	33	18.4	30.5
1965	32.9	19.9	29.4
1966	33	20.1	28.9
1967	31.4	21.0	29
1968	31.3	22.1	29.1
1969	31.1	23.3	27.6
1970	31.3	24.5	27.4
1971	31.3	25.0	25.7
1972	31	25.5	26.8
1973	30.5	26.1	25.8
1974	29.5	26.3	24.2
1975	29.5	26.8	23.3
1976	29.3	27.0	23.7
1977	29	28.5	17.2
1978	28.6	29.9	19.9
1979	28.2	32.0	21.7
1980	27.6	33.1	19.2
1981	27.1	34.0	18.7
1982	26.4	33.8	18.3
1983	26.3	32.9	18.5
1984	26.4	33.5	18.9
1985	26.7	34.9	19.3
1986	26.5	35.5	19.4
1987	26.1	37.5	18.8
1988	26.1	39.5	18.2
1989	26	40.0	18.8
1990	25.7	40.5	19.4
1991	25.5	41.0	19.5
1992	25.1	42.3	18.9
1993	24.4	44.8	17.2
1994	24.3	43.3	15.6
1995	23.9	42.0	15.3
1996	23.8	41.0	16.8
1997	23.4	42.1	17.9
1998	23	42.8	18.3
1999	22.9	45.0	19.3
2000	22.5	46.5	20
2001	22	48.0	18.5
2002	21.9	48.3	18.1
2003	21.6	48.8	18.5
2004	21.2	48.2	18.8
2005	0	0	0
2006	0	0	0
2007	0	0	0
2008	0	0	0
2009	0	0	0
2010	0	0	0
2011	0	0	0
2012	0	0	0
2013	0	0	0
2014	0	0	0
2015	0	0	0
2016	0	0	0
2017	0	0	0
